rank,prev_rank,name,league,off,def,spi
505,507,Rotherham United,English League One,0.68,1.55,24.82
506,508,Atromitos,Greek Super League,0.72,1.61,24.71
507,509,Málaga,Spanish Segunda Division,0.68,1.56,24.61
508,505,Jubilo Iwata,Japanese J League,0.81,1.78,24.43
509,510,Aldosivi,Argentina Primera Division,0.79,1.75,24.39
510,511,Real Sociedad II,Spanish Segunda Division,0.79,1.75,24.23
511,506,Tromso,Norwegian Tippeligaen,0.89,1.92,24.11
512,513,Valenciennes,French Ligue 2,0.69,1.61,23.9
513,514,Panetolikos,Greek Super League,0.67,1.59,23.85
514,515,FC Ingolstadt 04,German 2. Bundesliga,0.82,1.83,23.77
515,516,Western Sydney FC,Australian A-League,0.98,2.08,23.74
516,517,Western United,Australian A-League,0.91,1.96,23.73
517,521,IK Sirius,Swedish Allsvenskan,0.93,2,23.69
518,518,Vicenza,Italy Serie B,0.7,1.65,23.66
519,519,Adelaide United,Australian A-League,0.9,1.96,23.54
520,520,St Johnstone,Scottish Premiership,0.63,1.55,23.4
521,522,Consadole Sapporo,Japanese J League,0.84,1.89,23.38
522,523,Lausanne Sports,Swiss Raiffeisen Super League,0.99,2.12,23.3
523,524,Tianjin Teda,Chinese Super League,0.84,1.91,23.09
524,525,Central Coast Mariners,Australian A-League,1,2.16,22.97
525,526,Newcastle United Jets,Australian A-League,0.93,2.06,22.94
526,532,Pittsburgh Riverhounds,United Soccer League,0.84,1.91,22.93
527,527,Reggina,Italy Serie B,0.61,1.56,22.66
528,528,Fuenlabrada,Spanish Segunda Division,0.75,1.84,22.03
529,529,Rodez,French Ligue 2,0.56,1.52,22
530,530,Plymouth Argyle,English League One,0.65,1.7,21.62
531,531,Shanghai Greenland,Chinese Super League,0.9,2.12,21.53
532,512,San Diego Loyal SC,United Soccer League,0.96,2.22,21.39
533,533,Kaizer Chiefs,South African ABSA Premier League,0.57,1.58,21.36
534,534,New Mexico United,United Soccer League,0.74,1.88,21.27
535,535,Colorado Springs Switchbacks FC,United Soccer League,0.85,2.06,21.07
536,536,RFC Seraing,Belgian Jupiler League,0.75,1.9,21.04
537,537,Cosenza,Italy Serie B,0.66,1.76,20.98
538,538,Alessandria,Italy Serie B,0.68,1.79,20.97
539,539,Henan Jianye,Chinese Super League,0.81,2.01,20.91
540,540,Goztepe,Turkish Turkcell Super Lig,0.94,2.22,20.88
541,541,Hebei China Fortune FC,Chinese Super League,0.85,2.08,20.88
