Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 1000, Best: 0.4452354874041621, Average: 0.44479737130339536, Time: 110.65002850000019
Population Size: 50, Tournament Size: 3, Mutation Count: 1, Generations: 1000, Best: 0.4474260679079956, Average: 0.44604600219058055, Time: 380.3019523999974
Population Size: 100, Tournament Size: 3, Mutation Count: 1, Generations: 1000, Best: 0.4474260679079956, Average: 0.44553669222343933, Time: 693.9379936000005
Population Size: 500, Tournament Size: 3, Mutation Count: 1, Generations: 1000, Best: 0.4457831325301205, Average: 0.4330460021905799, Time: 3320.549954600003
Population Size: 10, Tournament Size: 6, Mutation Count: 1, Generations: 1000, Best: 0.44633077765607887, Average: 0.4461117196056955, Time: 149.7913989000008
Population Size: 50, Tournament Size: 6, Mutation Count: 1, Generations: 1000, Best: 0.4397590361445783, Average: 0.4392113910186202, Time: 398.4213915
Population Size: 100, Tournament Size: 6, Mutation Count: 1, Generations: 1000, Best: 0.4474260679079956, Average: 0.4464403066812705, Time: 751.372894600001
Population Size: 500, Tournament Size: 6, Mutation Count: 1, Generations: 1000, Best: 0.4474260679079956, Average: 0.4398148959474258, Time: 3391.1977501000038
Population Size: 10, Tournament Size: 3, Mutation Count: 2, Generations: 1000, Best: 0.4457831325301205, Average: 0.4451807228915663, Time: 114.66839220000111
Population Size: 50, Tournament Size: 3, Mutation Count: 2, Generations: 1000, Best: 0.44633077765607887, Average: 0.4449069003285869, Time: 367.6790028000032
Population Size: 100, Tournament Size: 3, Mutation Count: 2, Generations: 1000, Best: 0.44687842278203727, Average: 0.4427820372398687, Time: 696.2991363999972
Population Size: 500, Tournament Size: 3, Mutation Count: 2, Generations: 1000, Best: 0.4452354874041621, Average: 0.43145235487404027, Time: 3329.9419630000048
Population Size: 10, Tournament Size: 6, Mutation Count: 2, Generations: 1000, Best: 0.44633077765607887, Average: 0.4456188389923329, Time: 151.70368040000176
Population Size: 50, Tournament Size: 6, Mutation Count: 2, Generations: 1000, Best: 0.44687842278203727, Average: 0.44576122672508217, Time: 426.869595199998
Population Size: 100, Tournament Size: 6, Mutation Count: 2, Generations: 1000, Best: 0.447973713033954, Average: 0.4450711938663744, Time: 753.6200749999989
Population Size: 500, Tournament Size: 6, Mutation Count: 2, Generations: 1000, Best: 0.44687842278203727, Average: 0.4382672508214677, Time: 3510.9510471999965
Population Size: 10, Tournament Size: 3, Mutation Count: 3, Generations: 1000, Best: 0.4474260679079956, Average: 0.4467141292442497, Time: 149.75327709999692
Population Size: 50, Tournament Size: 3, Mutation Count: 3, Generations: 1000, Best: 0.4474260679079956, Average: 0.4456845564074479, Time: 498.87874539999757
Population Size: 100, Tournament Size: 3, Mutation Count: 3, Generations: 1000, Best: 0.4457831325301205, Average: 0.4440963855421684, Time: 993.6771086000008
Population Size: 500, Tournament Size: 3, Mutation Count: 3, Generations: 1000, Best: 0.4452354874041621, Average: 0.43076560788608886, Time: 6242.0150901000015
Population Size: 10, Tournament Size: 6, Mutation Count: 3, Generations: 1000, Best: 0.44687842278203727, Average: 0.44644030668127055, Time: 235.71866820000287
Population Size: 50, Tournament Size: 6, Mutation Count: 3, Generations: 1000, Best: 0.4457831325301205, Average: 0.44395399780941963, Time: 651.9613573000024
Population Size: 100, Tournament Size: 6, Mutation Count: 3, Generations: 1000, Best: 0.44687842278203727, Average: 0.4450383351588168, Time: 952.6849767000022
Population Size: 500, Tournament Size: 6, Mutation Count: 3, Generations: 1000, Best: 0.44687842278203727, Average: 0.43639978094194953, Time: 3525.8970927000046
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.43373493975903615, Average: 0.41254107338444684, Time: 1.2286572000000007
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.4348302300109529, Average: 0.43148959474260673, Time: 1.2802825000000055
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.44359255202628695, Average: 0.4173603504928806, Time: 1.2458254999999951
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.4430449069003286, Average: 0.43263964950711936, Time: 1.229270200000002
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.4348302300109529, Average: 0.4212486308871851, Time: 1.2755094000000042
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42771084337349397, Average: 0.3415115005476451, Time: 1.3202641000000028
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42880613362541076, Average: 0.4104052573932092, Time: 1.2575707999999963
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.4304490690032859, Average: 0.42918948521358163, Time: 1.2348408999999947
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.3203723986856517, Average: 0.30613362541073386, Time: 1.277052900000001
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.43318729463307776, Average: 0.422289156626506, Time: 1.241538200000008
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.43263964950711936, Average: 0.3725629791894852, Time: 1.2473810999999841
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42771084337349397, Average: 0.32426067907995615, Time: 1.2945454999999697
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.328039430449069, Average: 0.3126506024096386, Time: 1.2781350000000202
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.4299014238773275, Average: 0.41801752464403064, Time: 1.231544299999996
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.43099671412924423, Average: 0.36226725082146766, Time: 1.2620643999999857
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42771084337349397, Average: 0.3244797371303395, Time: 1.3089289000000122
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42771084337349397, Average: 0.364512595837897, Time: 1.2402390999999966
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42825848849945236, Average: 0.3602957283680176, Time: 1.2335863000000131
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.43866374589266155, Average: 0.40859802847754667, Time: 1.2519842999999469
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42771084337349397, Average: 0.3707009857612267, Time: 1.227544699999953
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.4430449069003286, Average: 0.42332968236582696, Time: 1.2408540000000001
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.38663745892661555, Average: 0.32683461117196055, Time: 1.3023099000000116
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42771084337349397, Average: 0.36604600219058053, Time: 1.2512666000000081
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.4452354874041621, Average: 0.38214676889375687, Time: 1.2366607999999815
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42771084337349397, Average: 0.4015334063526835, Time: 1.2557299000000057
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42771084337349397, Average: 0.42771084337349397, Time: 1.266243300000042
Population Size: 100, Tournament Size: 5, Mutation Count: 2, Generations: 100, Best: 0.44359255202628695, Average: 0.42108433734939754, Time: 79.22744150000005
Population Size: 100, Tournament Size: 5, Mutation Count: 2, Generations: 100, Best: 0.44359255202628695, Average: 0.4023713033953997, Time: 78.7333009
Population Size: 100, Tournament Size: 5, Mutation Count: 2, Generations: 10, Best: 0.44359255202628695, Average: 0.3289759036144579, Time: 8.5108317
Population Size: 100, Tournament Size: 5, Mutation Count: 2, Generations: 10, Best: 0.4430449069003286, Average: 0.3231434830230011, Time: 8.461399000000004

Population Size: 100, Tournament Size: 5, Mutation Count: 2, Generations: 10, Best: 0.436473165388828, Average: 0.3292332968236583, Time: 7.927155600000001
Population Size: 100, Tournament Size: 5, Mutation Count: 2, Generations: 10, Best: 0.43811610076670315, Average: 0.3160021905805038, Time: 8.051992100000003
Population Size: 100, Tournament Size: 5, Mutation Count: 2, Generations: 10, Best: 0.4419496166484118, Average: 0.3094687842278204, Time: 8.043087200000002
Population Size: 100, Tournament Size: 5, Mutation Count: 2, Generations: 10, Best: 0.436473165388828, Average: 0.3236856516976999, Time: 7.991787600000009
Population Size: 10, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.42771084337349397, Average: 0.4044906900328587, Time: 1.3850580000000001, Date: 2022-07-25 01:45:02.642418
Population Size: 50, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.4348302300109529, Average: 0.3273713033953998, Time: 4.4462103, Date: 2022-07-25 01:45:07.090551
Population Size: 100, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.4419496166484118, Average: 0.3146385542168674, Time: 8.1629154, Date: 2022-07-25 01:45:15.254230
Population Size: 500, Tournament Size: 3, Mutation Count: 1, Generations: 10, Best: 0.4452354874041621, Average: 0.3089835706462211, Time: 38.956987100000006, Date: 2022-07-25 01:45:54.212105
Population Size: 10, Tournament Size: 6, Mutation Count: 1, Generations: 10, Best: 0.42771084337349397, Average: 0.42771084337349397, Time: 1.7576977999999954, Date: 2022-07-25 01:45:55.970923
Population Size: 50, Tournament Size: 6, Mutation Count: 1, Generations: 10, Best: 0.4397590361445783, Average: 0.331697699890471, Time: 4.859283399999995, Date: 2022-07-25 01:46:00.830738
Population Size: 100, Tournament Size: 6, Mutation Count: 1, Generations: 10, Best: 0.4430449069003286, Average: 0.3153395399780942, Time: 8.719100499999996, Date: 2022-07-25 01:46:09.550921
